"nuance","nuance_bloc","genre_candidat-es","candidat-es","qualifiables","premiere_position","elu-es"
DVC,centre,FEMININ,46,0,0,0
DVC,centre,MASCULIN,82,8,1,0
ENS,centre,FEMININ,197,138,28,0
ENS,centre,MASCULIN,235,171,29,1
HOR,centre,FEMININ,5,4,2,0
HOR,centre,MASCULIN,9,7,1,0
UDI,centre,FEMININ,12,3,0,0
UDI,centre,MASCULIN,24,5,0,0
DIV,divers,FEMININ,41,0,0,0
DIV,divers,MASCULIN,143,3,0,0
REG,divers,FEMININ,50,0,0,0
REG,divers,MASCULIN,68,9,7,0
DVD,droite,FEMININ,32,7,2,1
DVD,droite,MASCULIN,140,34,12,0
LR,droite,FEMININ,96,16,4,0
LR,droite,MASCULIN,200,39,11,1
DSV,extrême-droite,FEMININ,53,0,0,0
DSV,extrême-droite,MASCULIN,57,1,0,0
EXD,extrême-droite,FEMININ,5,0,0,0
EXD,extrême-droite,MASCULIN,16,2,1,1
REC,extrême-droite,FEMININ,140,0,0,0
REC,extrême-droite,MASCULIN,175,0,0,0
RN,extrême-droite,FEMININ,230,183,91,11
RN,extrême-droite,MASCULIN,258,238,168,26
UXD,extrême-droite,FEMININ,11,9,6,1
UXD,extrême-droite,MASCULIN,51,47,31,0
EXG,extrême-gauche,FEMININ,311,0,0,0
EXG,extrême-gauche,MASCULIN,344,0,0,0
COM,gauche,MASCULIN,1,0,0,0
DVG,gauche,FEMININ,30,4,2,0
DVG,gauche,MASCULIN,92,13,10,0
ECO,gauche,FEMININ,58,1,1,0
ECO,gauche,MASCULIN,81,0,0,0
FI,gauche,MASCULIN,2,1,0,0
RDG,gauche,FEMININ,1,0,0,0
RDG,gauche,MASCULIN,1,0,0,0
SOC,gauche,FEMININ,1,0,0,0
SOC,gauche,MASCULIN,4,1,1,0
UG,gauche,FEMININ,254,209,65,16
UG,gauche,MASCULIN,279,241,85,16
VEC,gauche,FEMININ,1,0,0,0
