Code;Nuance; Commentaires;Bloc de clivage
EXG;Extrême gauche;Candidats présentés ou soutenus par des partis d'extrême gauche, notamment Lutte ouvrière, le nouveau Parti Anticapitaliste, Parti ouvrier indépendant;extrême gauche
COM;Parti communiste français;Candidats présentés ou soutenus par le Parti communiste Français;gauche
FI;La France insoumise;Candidats présentés ou soutenus par La France insoumise;gauche
SOC;Parti socialiste;Candidats présentés ou soutenus par le Parti socialiste;gauche
RDG;Parti radical de gauche;Candidats présentés ou soutenus par le Parti radical de gauche;gauche
VEC;Les Écologistes;Candidats présentés ou soutenus par Les Écologistes;gauche
DVG;Divers gauche;Autres candidats de sensibilité de gauche;gauche
UG;Union de la gauche;Candidats présentés ou soutenus par deux partis de gauche;gauche
ECO;Ecologiste;Autres candidats de sensibilité écologiste;gauche
REG;Régionalistes;Candidats régionalistes, indépendantistes et autonomistes;divers
DIV;Divers;Candidats inclassables;divers
REN;Renaissance;Candidats présentés ou soutenus par Renaissance;centre
MOM;Modem;Candidats présentés ou soutenus par le Mouvement démocrate;centre
HOR;Horizons;Candidats présentés ou soutenus par Horizons;centre
ENS;Ensemble;Candidats présentés ou soutenus par deux partis du centre;centre
DVC;Divers centre;Autres candidats de sensibilité du centre;centre
UDI;Union des Démocrates et Indépendants;Candidats présentés ou soutenus par l'Union des démocrates et indépendants;centre
LR;Les Républicains;Candidats présentés ou soutenus par Les Républicains;droite
DVD;Divers droite;Autres candidats de sensibilité de droite;droite
DSV;Droite souverainiste;Debout la France, autres partis ou candidats de sensibilité souverainiste;extrême droite
RN;Rassemblement National;Candidats présentés ou soutenus par le Rassemblement national;extrême droite
REC;Reconquête;Candidats présentés ou soutenus par Reconquête !;extrême droite
UXO;Union de l'extrême droite;Candidats présentés ou soutenus par deux partis d'extrême droite;extrême droite
EXD;Extrême droite;Candidats présentés ou soutenus par d'autres partis d'extrême droite, notamment Les Patriotes, Comités Jeanne, Mouvement National Républicain, Les identitaires , Ligue du Sud, Parti de la France, Souveraineté, Identité et Libertés (SI EL), Front des patriotes républicains, etc.;extrême droite
